(0,*,1)
(0,P,2)
(1,p,3)
(2,#,0)
(3,<,4)
(4,k,5)
(4,I,6)
(5,>,-2)
(6,>,7)
(7,a,8)
(7,g,9)
(7,h,10)
(7,s,11)
(7,v,12)
(7,y,13)
(7,z,14)
(7,A,15)
(7,B,16)
(8,2,-4)
(8,m,-4)
(9,2,-9)
(9,m,-9)
(10,2,-7)
(10,m,-7)
(11,2,-10)
(11,m,-10)
(12,2,-8)
(12,m,-8)
(13,2,-6)
(13,m,-6)
(14,2,-5)
(14,m,-5)
(15,#,-1)
(16,2,17)
(16,m,18)
(16,C,19)
(17,(,-12)
(18,(,-11)
(19,(,20)
(20,),21)
(21,{,22)
(22,r,-24)
(22,},-24)
(22,2,23)
(22,a,24)
(22,g,25)
(22,h,26)
(22,i,27)
(22,s,28)
(22,w,29)
(22,y,30)
(22,z,31)
(22,D,32)
(22,E,33)
(22,G,34)
(22,K,35)
(22,T,36)
(22,V,37)
(22,W,38)
(22,X,39)
(23,=,-43)
(23,+,-43)
(23,-,-43)
(24,2,-13)
(25,2,-17)
(26,2,-16)
(27,(,40)
(28,2,-18)
(29,(,41)
(30,2,-15)
(31,2,-14)
(32,2,42)
(32,N,43)
(33,},-40)
(33,r,44)
(33,R,45)
(34,+,46)
(34,-,47)
(34,=,48)
(34,U,49)
(35,r,-24)
(35,},-24)
(35,2,23)
(35,a,24)
(35,g,25)
(35,h,26)
(35,i,27)
(35,s,28)
(35,w,29)
(35,y,30)
(35,z,31)
(35,D,32)
(35,E,50)
(35,G,34)
(35,K,35)
(35,T,36)
(35,V,37)
(35,W,38)
(35,X,39)
(36,r,-24)
(36,},-24)
(36,2,23)
(36,a,24)
(36,g,25)
(36,h,26)
(36,i,27)
(36,s,28)
(36,w,29)
(36,y,30)
(36,z,31)
(36,D,32)
(36,E,51)
(36,G,34)
(36,K,35)
(36,T,36)
(36,V,37)
(36,W,38)
(36,X,39)
(37,r,-24)
(37,},-24)
(37,2,23)
(37,a,24)
(37,g,25)
(37,h,26)
(37,i,27)
(37,s,28)
(37,w,29)
(37,y,30)
(37,z,31)
(37,D,32)
(37,E,52)
(37,G,34)
(37,K,35)
(37,T,36)
(37,V,37)
(37,W,38)
(37,X,39)
(38,r,-24)
(38,},-24)
(38,2,23)
(38,a,24)
(38,g,25)
(38,h,26)
(38,i,27)
(38,s,28)
(38,w,29)
(38,y,30)
(38,z,31)
(38,D,32)
(38,E,53)
(38,G,34)
(38,K,35)
(38,T,36)
(38,V,37)
(38,W,38)
(38,X,39)
(39,r,-24)
(39,},-24)
(39,2,23)
(39,a,24)
(39,g,25)
(39,h,26)
(39,i,27)
(39,s,28)
